iter	Logloss
0	0.6723869932
1	0.6561319512
2	0.6381048785
3	0.6208500506
4	0.6046294095
5	0.5905844033
6	0.5761532245
7	0.5617177969
8	0.5503339798
9	0.5373122027
10	0.5271887097
11	0.5159531773
12	0.5047703549
13	0.4981899819
14	0.488648928
15	0.4813455031
16	0.4745775409
17	0.4669171398
18	0.460594313
19	0.4549212176
20	0.4491771373
21	0.4439728775
22	0.439262612
23	0.4340092139
24	0.4295648232
25	0.425097651
26	0.4211818932
27	0.4169396106
28	0.4123397414
29	0.4088019276
30	0.405620503
31	0.4018982026
32	0.4007606404
33	0.39681104
34	0.393271381
35	0.3902469102
36	0.3870334856
37	0.3846720764
38	0.3814049109
39	0.3794562321
40	0.3766590044
41	0.3739081053
42	0.3713471419
43	0.3688721898
44	0.3670236824
45	0.3665935472
46	0.365050861
47	0.3640730677
48	0.3624994153
49	0.3610910371
50	0.3589498449
51	0.3566800736
52	0.3563256581
53	0.3546941758
54	0.3529588415
55	0.3515434221
56	0.3498826736
57	0.3481577188
58	0.3465375752
59	0.3455012471
60	0.3447608295
61	0.3432118669
62	0.3422429623
63	0.3404156306
64	0.3402694916
65	0.3392757143
66	0.3377616703
67	0.3366520786
68	0.3351619976
69	0.3338233974
70	0.3324996491
71	0.3318176822
72	0.330289903
73	0.3291339835
74	0.3284452006
75	0.3274853453
76	0.3265718931
77	0.3258159689
78	0.3247285372
79	0.3242965373
80	0.3233031481
81	0.3222767788
82	0.3215132018
83	0.3208978582
84	0.31997169
85	0.3192460212
86	0.3181238294
87	0.3166010039
88	0.3150824579
89	0.3141919598
90	0.3134901263
91	0.3125736005
92	0.3118212339
93	0.3111715321
94	0.3105945468
95	0.3091822919
96	0.308567659
97	0.3081484071
98	0.3075073417
99	0.3063506111
100	0.3058242821
101	0.3052882148
102	0.3044195507
103	0.3039205655
104	0.3034258674
105	0.3029234254
106	0.3020597176
107	0.3013920796
108	0.3001795244
109	0.2993014825
110	0.2985916871
111	0.2973510077
112	0.2959486776
113	0.2953403288
114	0.2945580122
115	0.2941446434
116	0.2937029904
117	0.2935585159
118	0.2935159573
119	0.293457658
120	0.2930637306
121	0.2926456127
122	0.2919452556
123	0.2909704248
124	0.2903886967
125	0.2893120237
126	0.2889727845
127	0.2887472649
128	0.2880342014
129	0.2879172683
130	0.2877514033
131	0.2870348894
132	0.2866938308
133	0.2862189145
134	0.2859158926
135	0.2853007547
136	0.2846630302
137	0.2844565254
138	0.2837525581
139	0.2830584024
140	0.2829370472
141	0.281632451
142	0.2813486376
143	0.2807406112
144	0.2802927601
145	0.2797456593
146	0.2791252425
147	0.2782993974
148	0.2781421719
149	0.2777065655
150	0.2774800691
151	0.2769976986
152	0.2766700526
153	0.2760549822
154	0.2755464931
155	0.2752160991
156	0.2748300783
157	0.2747587185
158	0.2739697229
159	0.2732516734
160	0.2728756552
161	0.272126081
162	0.2716076127
163	0.2712776444
164	0.2707945223
165	0.270031454
166	0.2694013081
167	0.2685375429
168	0.2681857767
169	0.2677924166
170	0.2671192318
171	0.266866475
172	0.266596663
173	0.2661628708
174	0.2658217114
175	0.2650508301
176	0.2649369796
177	0.2646270185
178	0.263572797
179	0.2632190513
180	0.2628272673
181	0.2622998311
182	0.2615431533
183	0.2610877003
184	0.2604311432
185	0.2595698206
186	0.2588818037
187	0.2576090036
188	0.2573307331
189	0.2569826992
190	0.256765005
191	0.2565159048
192	0.2563857735
193	0.2561056877
194	0.2559899587
195	0.2555855018
196	0.2549964427
197	0.2543548098
198	0.2543073841
199	0.2537989879
200	0.2533339863
201	0.2528691923
202	0.2522807777
203	0.2517200949
204	0.2514985992
205	0.2507657463
206	0.2503329833
207	0.2501242558
208	0.2499188326
209	0.2492984603
210	0.2485379804
211	0.2475996041
